comparison_group,instance,method_or_variant,seed,seed_archive_signature_count,seed_exclusive_signature_count,seed_rediscovered_signature_count,seed_rediscovered_signature_ratio,definition
phase11,demo_layout_door_left_AW_2,bs_only_direct,114,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,115,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,116,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,117,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,118,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,119,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,120,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,121,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,122,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,123,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,124,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,125,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,126,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,127,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,128,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,129,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,130,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,101,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,102,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,103,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,104,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,105,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,106,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,107,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,108,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,109,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,110,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,111,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,112,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,113,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,114,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,115,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
