phase,method_or_variant,instance,seed,generation_objectives_csv,row_count
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,111,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s111\runs\AT_S_comercial_layout_AW_3\seed_111\generation_objectives.csv,43
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,112,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s112\runs\AT_S_comercial_layout_AW_3\seed_112\generation_objectives.csv,56
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,113,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s113\runs\AT_S_comercial_layout_AW_3\seed_113\generation_objectives.csv,57
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,114,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s114\runs\AT_S_comercial_layout_AW_3\seed_114\generation_objectives.csv,55
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,115,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s115\runs\AT_S_comercial_layout_AW_3\seed_115\generation_objectives.csv,50
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,116,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s116\runs\AT_S_comercial_layout_AW_3\seed_116\generation_objectives.csv,67
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,117,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s117\runs\AT_S_comercial_layout_AW_3\seed_117\generation_objectives.csv,57
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,118,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s118\runs\AT_S_comercial_layout_AW_3\seed_118\generation_objectives.csv,65
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,119,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s119\runs\AT_S_comercial_layout_AW_3\seed_119\generation_objectives.csv,56
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,120,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s120\runs\AT_S_comercial_layout_AW_3\seed_120\generation_objectives.csv,60
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,121,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s121\runs\AT_S_comercial_layout_AW_3\seed_121\generation_objectives.csv,51
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,122,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s122\runs\AT_S_comercial_layout_AW_3\seed_122\generation_objectives.csv,44
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,123,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s123\runs\AT_S_comercial_layout_AW_3\seed_123\generation_objectives.csv,52
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,124,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s124\runs\AT_S_comercial_layout_AW_3\seed_124\generation_objectives.csv,58
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,125,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s125\runs\AT_S_comercial_layout_AW_3\seed_125\generation_objectives.csv,38
phase11,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,126,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s126\runs\AT_S_comercial_layout_AW_3\seed_126\generation_objectives.csv,53
