regime,lambda_case_id,lambda_depth,lambda_level,selection_label,workload_seed_id,rng_seed,orders_count,order_lines_count,mean_order_lambda_access_effort_sum,mean_order_lambda_access_effort_mean,mean_line_lambda_access_effort,seed_status,seed_warning
A,A1_baseline,1,1,L3,13,20260630,1000,3021,0.557825974026,0.184453365801,0.184649445225,ok,
A,A1_baseline,1,1,L3,14,20260631,1000,2940,0.585337012987,0.190981958874,0.199094222104,ok,
A,A1_baseline,1,1,L3,15,20260632,1000,3091,0.599281168831,0.190212164502,0.193879381699,ok,
A,A1_baseline,1,1,L3,16,20260633,1000,3034,0.528175974026,0.172944112554,0.174085686891,ok,
A,A1_baseline,1,1,L3,17,20260634,1000,3025,0.534953246753,0.182163809524,0.176844048513,ok,
A,A1_baseline,1,1,L3,18,20260635,1000,2996,0.558853896104,0.197912435065,0.186533343159,ok,
A,A1_baseline,1,1,L3,19,20260636,1000,3037,0.587851298701,0.184824935065,0.193563154001,ok,
A,A1_baseline,1,1,L3,20,20260637,1000,3018,0.573537662338,0.179988409091,0.190038986858,ok,
A,A1_baseline,1,1,L3,21,20260638,1000,2998,0.578892857143,0.193678712121,0.193093014391,ok,
A,A1_baseline,1,1,L3,22,20260639,1000,2974,0.559449350649,0.18099521645,0.188113433305,ok,
A,A1_baseline,1,1,L3,23,20260640,1000,3106,0.593276623377,0.195258463203,0.191009859426,ok,
A,A1_baseline,1,1,L3,24,20260641,1000,3096,0.605753246753,0.199258160173,0.195656733447,ok,
A,A1_baseline,1,1,L3,25,20260642,1000,2954,0.568947402597,0.188298896104,0.192602370548,ok,
A,A1_baseline,1,1,L3,26,20260643,1000,3002,0.587151298701,0.190050595238,0.195586708428,ok,
A,A1_baseline,1,1,L3,27,20260644,1000,2996,0.590147402597,0.198375205628,0.196978438784,ok,
A,A1_baseline,1,1,L3,28,20260645,1000,2993,0.551932467533,0.181346222944,0.184407773983,ok,
A,A1_baseline,1,1,L3,29,20260646,1000,2966,0.535212337662,0.178264480519,0.180449203527,ok,
A,A1_baseline,1,1,L3,30,20260647,1000,2986,0.523933116883,0.171380205628,0.175463200564,ok,
A,A1_baseline,1,1,L4,1,20260618,1000,3046,0.597908441558,0.194003939394,0.196292988036,ok,
A,A1_baseline,1,1,L4,2,20260619,1000,3031,0.660080519481,0.213374718615,0.217776482838,ok,
A,A1_baseline,1,1,L4,3,20260620,1000,2988,0.620313636364,0.205826493507,0.207601618596,ok,
A,A1_baseline,1,1,L4,4,20260621,1000,3085,0.611076623377,0.197697683983,0.198079942748,ok,
A,A1_baseline,1,1,L4,5,20260622,1000,3039,0.608783116883,0.201914761905,0.200323500126,ok,
A,A1_baseline,1,1,L4,6,20260623,1000,3009,0.614931168831,0.199084534632,0.204363964384,ok,
A,A1_baseline,1,1,L4,7,20260624,1000,2998,0.603894155844,0.200038712121,0.201432340175,ok,
A,A1_baseline,1,1,L4,8,20260625,1000,2990,0.619913636364,0.2119129329,0.207328975372,ok,
A,A1_baseline,1,1,L4,9,20260626,1000,2976,0.620762337662,0.208808041126,0.208589495182,ok,
A,A1_baseline,1,1,L4,10,20260627,1000,3017,0.616286363636,0.209115378788,0.204271250791,ok,
A,A1_baseline,1,1,L4,11,20260628,1000,3010,0.664492207792,0.2257275,0.220761530828,ok,
A,A1_baseline,1,1,L4,12,20260629,1000,2972,0.625642857143,0.213325822511,0.210512401461,ok,
A,A1_baseline,1,1,L4,13,20260630,1000,3021,0.616512337662,0.202672251082,0.20407558347,ok,
A,A1_baseline,1,1,L4,14,20260631,1000,2940,0.64045974026,0.210585930736,0.217843449068,ok,
A,A1_baseline,1,1,L4,15,20260632,1000,3091,0.661806493507,0.210512792208,0.214107568265,ok,
A,A1_baseline,1,1,L4,16,20260633,1000,3034,0.59082012987,0.190359772727,0.194733068514,ok,
A,A1_baseline,1,1,L4,17,20260634,1000,3025,0.590707792208,0.201833300866,0.195275303209,ok,
A,A1_baseline,1,1,L4,18,20260635,1000,2996,0.60612987013,0.215608647186,0.202313040764,ok,
A,A1_baseline,1,1,L4,19,20260636,1000,3037,0.633642207792,0.201045833333,0.208640832332,ok,
A,A1_baseline,1,1,L4,20,20260637,1000,3018,0.625801298701,0.196521038961,0.20735629513,ok,
A,A1_baseline,1,1,L4,21,20260638,1000,2998,0.616046103896,0.207223560606,0.20548569176,ok,
A,A1_baseline,1,1,L4,22,20260639,1000,2974,0.608067532468,0.196351904762,0.204461174333,ok,
A,A1_baseline,1,1,L4,23,20260640,1000,3106,0.655688311688,0.212891287879,0.211103770666,ok,
A,A1_baseline,1,1,L4,24,20260641,1000,3096,0.661261038961,0.217806450216,0.2135856069,ok,
A,A1_baseline,1,1,L4,25,20260642,1000,2954,0.604657792208,0.199505779221,0.204691195737,ok,
